City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
244,nouadhibou,20.931,-17.0347,291.14,94,0,4.63,MR,1682564579
245,rio grande,-32.035,-52.0986,291.21,84,21,4.71,BR,1682564580
246,panaba,21.2833,-88.2667,298.89,66,16,6.66,MX,1682564582
247,nogliki,51.8333,143.1667,273.89,100,100,2.96,RU,1682564584
248,borba,-4.3878,-59.5939,297.21,91,100,1.88,BR,1682564586
249,magadan,59.5667,150.8,274.83,75,43,1.48,RU,1682564589
250,loukhi,66.0764,33.0381,271.73,89,100,3.47,RU,1682564590
251,galesong,-5.3166,119.3661,303.16,78,96,2.08,ID,1682564593
252,nuku'alofa,-21.1333,-175.2,299.34,89,75,5.14,TO,1682564595
253,whangarei,-35.7317,174.3239,290.27,63,100,1.1,NZ,1682564597
254,kailua-kona,19.6406,-155.9956,297.37,97,91,1.79,US,1682564538
255,hermanus,-34.4187,19.2345,289.55,65,0,4.42,ZA,1682564601
256,al mayadin,35.0209,40.4535,292.29,45,26,5.2,SY,1682564603
257,mogocha,53.7333,119.7667,278.85,35,80,2.67,RU,1682564605
258,mushie,-3.0167,16.9,294.88,95,100,0.96,CD,1682564607
259,ganshui,28.7422,106.7111,296.08,58,39,2.24,CN,1682564609
260,enewetak,11.3474,162.3373,300.34,81,51,9.29,MH,1682564611
261,grand island,40.925,-98.342,287.15,48,0,4.12,US,1682564614
262,mersrags,57.3354,23.1246,276.08,86,100,3.89,LV,1682564615
263,santana,-0.0583,-51.1817,297.25,100,75,1.54,BR,1682564616
264,melito di porto salvo,37.9222,15.7714,289.12,62,56,3.09,IT,1682564618
265,wusong,30.95,117.7833,296.22,50,9,2.97,CN,1682564619
266,nemuro,43.3236,145.575,280.18,53,9,12.8,JP,1682564621
267,raja,8.4596,25.678,296.49,74,99,1.92,SS,1682564622
268,belmonte,-15.8631,-38.8828,297.03,87,5,0.54,BR,1682564565
269,taroa,8.7058,171.2275,300.1,83,96,7.23,MH,1682564626
270,nadym,65.5333,72.5167,269.75,92,22,3.75,RU,1682564627
271,horta,38.5333,-28.6333,289.83,87,67,8.49,PT,1682564628
272,port saint john's,-31.6229,29.5448,294.39,65,51,3.27,ZA,1682564555
273,tari,12.4086,4.4914,302.96,51,96,5.78,NG,1682564630
274,khovd,48.0056,91.6419,271.21,52,100,2.67,MN,1682564587
275,ormara,25.2088,64.6357,299.31,70,70,2.31,PK,1682564538
276,sinop,41.7711,34.8709,283.16,87,100,3.0,TR,1682564634
277,geraldton,-28.7667,114.6,296.38,53,27,6.69,AU,1682564635
